date,noComplaints,noResolvedComplaints,noProblems,noInfoSeeking
5/20/2016,65,62,36,29
5/21/2016,43,0,24,19
5/22/2016,26,0,15,11
5/23/2016,66,110,38,28
5/24/2016,66,87,36,30
5/25/2016,69,55,46,23
5/26/2016,79,79,50,29
5/27/2016,58,115,31,27
5/28/2016,41,0,24,17
5/29/2016,25,0,11,14
5/30/2016,61,97,38,23
5/31/2016,81,85,50,31
06-01-2016,64,76,39,25
06-02-2016,61,55,35,26
06-03-2016,59,83,41,18
06-04-2016,38,0,18,20
06-05-2016,28,0,15,13
06-06-2016,63,65,35,28
06-07-2016,81,95,47,34
06-08-2016,65,88,37,28
06-09-2016,59,82,30,29
06-10-2016,59,76,36,23
06-11-2016,45,0,22,23
06-12-2016,43,0,20,23
6/13/2016,77,102,44,33
6/14/2016,78,105,39,39
6/15/2016,63,85,28,35
6/16/2016,63,63,35,28
6/17/2016,47,60,33,14
6/18/2016,52,0,23,29
6/19/2016,32,0,20,12
6/20/2016,89,108,46,43
6/21/2016,60,109,34,26
6/22/2016,55,78,33,22
6/23/2016,64,54,38,26
6/24/2016,67,73,43,24
6/25/2016,77,0,38,39
6/26/2016,45,0,28,17
6/27/2016,78,108,46,32
6/28/2016,76,101,48,28
6/29/2016,87,91,47,40
6/30/2016,96,79,49,47
07-01-2016,72,99,47,25
07-02-2016,72,0,37,35
07-03-2016,61,0,32,29
07-04-2016,81,0,37,44
07-05-2016,92,185,47,45
07-06-2016,69,0,36,33
07-07-2016,68,89,30,38
07-08-2016,73,170,39,34
07-09-2016,56,0,31,25
07-10-2016,54,0,30,24
07-11-2016,78,121,43,35
07-12-2016,96,141,48,48
7/13/2016,87,105,40,47
7/14/2016,79,80,47,32
7/15/2016,58,154,29,29
7/16/2016,57,0,35,22
7/17/2016,50,0,26,24
7/18/2016,65,131,28,37
7/19/2016,81,48,48,33
7/20/2016,74,96,37,37
7/21/2016,84,96,51,33
7/22/2016,81,92,45,36
7/23/2016,32,0,15,17
7/24/2016,36,0,17,19
7/25/2016,84,103,39,45
7/26/2016,75,79,42,33
7/27/2016,91,102,49,42
7/28/2016,76,88,36,40
7/29/2016,89,92,46,43
7/30/2016,60,0,29,31
7/31/2016,48,0,19,29
08-01-2016,87,94,38,49
08-02-2016,72,101,42,30
08-03-2016,115,94,60,55
08-04-2016,98,119,45,53
08-05-2016,80,59,45,35
08-06-2016,65,0,35,30
08-07-2016,39,0,17,22
08-08-2016,86,131,41,45
08-09-2016,89,139,43,46
08-10-2016,85,169,45,40
08-11-2016,76,119,38,38
08-12-2016,96,135,40,56
8/13/2016,50,0,17,33
8/14/2016,40,0,13,27
8/15/2016,34,0,7,27
8/16/2016,79,107,35,44
8/17/2016,73,0,32,41
8/18/2016,61,146,29,32
8/19/2016,94,109,41,53
8/20/2016,82,0,38,44
8/21/2016,47,0,21,26
8/22/2016,63,112,31,32
8/23/2016,90,150,49,41
8/24/2016,51,112,28,23
8/25/2016,73,110,39,34
8/26/2016,81,97,43,38
8/27/2016,55,0,32,23
8/28/2016,30,0,9,21
8/29/2016,86,82,37,49
8/30/2016,75,133,38,37
8/31/2016,78,111,43,35
09-01-2016,88,81,48,40
09-02-2016,101,70,48,53
09-03-2016,44,0,21,23
09-04-2016,41,0,20,21
09-05-2016,53,0,27,26
09-06-2016,110,102,59,51
09-07-2016,90,82,35,55
09-08-2016,86,218,44,42
09-09-2016,86,114,43,43
09-10-2016,57,0,20,37
09-11-2016,30,0,12,18
09-12-2016,86,157,48,38
9/13/2016,57,0,25,32
9/14/2016,91,146,43,48
9/15/2016,99,107,48,51
9/16/2016,75,124,45,30
9/17/2016,62,0,33,29
9/18/2016,45,0,24,21
9/19/2016,66,137,29,37
9/20/2016,76,105,41,35
9/21/2016,75,113,40,35
9/22/2016,62,78,33,29
9/23/2016,58,62,29,29
9/24/2016,57,0,30,27
9/25/2016,33,0,15,18
9/26/2016,65,121,38,27
9/27/2016,82,82,38,44
9/28/2016,43,65,23,20
9/29/2016,64,77,37,27
9/30/2016,59,47,30,29
10-01-2016,49,0,20,29
10-02-2016,45,0,18,27
10-03-2016,81,120,52,29
10-04-2016,88,97,40,48
10-05-2016,91,102,51,40
10-06-2016,70,93,38,32
10-07-2016,55,64,32,23
10-08-2016,36,0,22,14
10-09-2016,34,0,16,18
10-10-2016,71,113,44,27
10-11-2016,29,0,12,17
10-12-2016,65,0,33,32
10/13/2016,74,129,48,26
10/14/2016,60,87,35,25
10/15/2016,45,0,23,22
10/16/2016,27,0,16,11
10/17/2016,62,91,35,27
10/18/2016,59,81,36,23
10/19/2016,60,78,31,29
10/20/2016,73,84,38,35
10/21/2016,60,70,26,34
10/22/2016,41,0,21,20
10/23/2016,30,0,14,16
10/24/2016,51,82,25,26
10/25/2016,54,90,31,23
10/26/2016,51,59,27,24
10/27/2016,42,85,19,23
10/28/2016,40,23,21,19
10/29/2016,33,0,18,15
10/30/2016,14,0,6,8
10/31/2016,46,0,21,25
11-01-2016,60,100,29,31
11-02-2016,67,91,33,34
11-03-2016,79,88,38,41
11-04-2016,74,59,46,28
11-05-2016,47,0,24,23
11-06-2016,47,0,21,26
11-07-2016,62,100,33,29
11-08-2016,67,96,36,31
11-09-2016,49,101,36,13
11-10-2016,51,64,29,22
11-11-2016,48,40,33,15
11-12-2016,25,0,19,6
11/13/2016,25,0,13,12
11/14/2016,28,0,18,10
11/15/2016,42,65,34,8
11/16/2016,47,47,37,10
11/17/2016,42,62,31,11
11/18/2016,44,102,21,23
11/19/2016,33,0,17,16
11/20/2016,20,0,11,9
11/21/2016,64,92,43,21
11/22/2016,55,60,33,22
11/23/2016,50,76,32,18
11/24/2016,65,49,41,24
11/25/2016,87,51,46,41
11/26/2016,80,0,48,32
11/27/2016,44,0,24,20
11/28/2016,128,167,63,65
11/29/2016,91,156,49,42
11/30/2016,155,127,91,64
12-01-2016,139,147,94,45
12-02-2016,133,155,80,53
12-03-2016,88,0,60,28
12-04-2016,80,0,60,20
12-05-2016,193,217,122,71
12-06-2016,306,272,239,67
12-07-2016,287,276,215,72
12-08-2016,281,286,203,78
12-09-2016,235,245,176,59
12-10-2016,156,0,110,46
12-11-2016,51,0,35,16
12-12-2016,110,0,72,38
12/13/2016,223,411,144,79
12/14/2016,368,257,249,119
12/15/2016,278,314,193,85
12/16/2016,274,339,181,93
12/17/2016,145,0,101,44
12/18/2016,125,0,78,47
12/19/2016,283,458,188,95
12/20/2016,297,417,194,103
12/21/2016,320,280,192,128
12/22/2016,305,323,191,114
12/23/2016,242,169,155,87
12/24/2016,116,0,72,44
12/25/2016,60,0,39,21
12/26/2016,269,468,177,92
12/27/2016,332,328,215,117
12/28/2016,321,326,195,126
12/29/2016,261,268,152,109
12/30/2016,240,308,156,84
12/31/2016,135,0,91,44
01-01-2017,77,0,50,27
01-02-2017,351,451,223,128
01-03-2017,453,406,310,143
01-04-2017,441,354,273,168
01-05-2017,400,512,254,146
01-06-2017,520,477,316,204
01-07-2017,336,0,221,115
01-08-2017,219,0,139,80
01-09-2017,516,799,312,204
01-10-2017,501,688,311,190
01-11-2017,583,525,372,211
01-12-2017,601,631,408,193
1/13/2017,475,577,316,159
1/14/2017,207,0,124,83
1/15/2017,151,0,75,76
1/16/2017,480,735,306,174
1/17/2017,474,520,297,177
1/18/2017,412,437,268,144
1/19/2017,372,407,218,154
1/20/2017,348,409,192,156
1/21/2017,228,0,158,70
1/22/2017,117,0,71,46
1/23/2017,484,524,286,198
1/24/2017,488,650,306,182
1/25/2017,394,421,217,177
1/26/2017,188,0,127,61
1/27/2017,447,613,271,176
1/28/2017,223,0,142,81
1/29/2017,149,0,94,55
1/30/2017,396,792,254,142
1/31/2017,461,482,299,162
