"date","open","high","low","volume","close"
2008-01-29,197.039993,198.360001,194.070007,7164500,196.050003
2008-01-30,195.270004,205.970001,193.399994,17597900,198.550003
2008-01-31,196.449997,203.210007,195,14803500,199.550003
2008-02-01,199.149994,208.779999,198,12207400,207.779999
2008-02-04,207.839996,208,199.199997,9071300,200.800003
2008-02-05,194.660004,197.309998,189.610001,13276400,189.860001
2008-02-06,191.479996,192.850006,186.25,9955500,187.169998
2008-02-07,185.770004,193.770004,185.320007,10839200,190.460007
2008-02-08,189,190.639999,185.699997,7869300,187.070007
2008-02-11,187.869995,190,185.5,8875800,185.869995
2008-02-12,186.179993,186.25,178.5,18397200,180.649994
2008-02-13,180.289993,181.729996,176.5,13933900,180.179993
2008-02-14,178.5,181.100006,176.5,10996700,176.559998
2008-02-15,175.100006,178.789993,173.369995,12449300,178.410004
2008-02-19,180.309998,181.369995,172.679993,10366600,173.800003
2008-02-20,171.970001,178.850006,171.820007,10793700,177.25
2008-02-21,178.5,179.199997,174.720001,8204800,175.169998
2008-02-22,175.550003,178,171.389999,9631400,177.710007
2008-02-25,175.350006,178,172.070007,12849200,177.360001
2008-02-26,175.479996,178,171.869995,11517900,172.699997
2008-02-27,171.839996,181.279999,171.509995,15903400,180.800003
2008-02-28,180.279999,180.279999,175.570007,8828200,176.699997
2008-02-29,174.389999,175.539993,169,11113300,169.630005
2008-03-03,169.289993,169.289993,164.309998,11920800,165.080002
2008-03-04,163.610001,166.440002,160.199997,17887900,163.600006
2008-03-05,163.910004,168.309998,162.669998,13270000,164.970001
2008-03-06,162.949997,163.589996,158.130005,15129200,158.649994
2008-03-07,157,163.320007,157,15228600,160.070007
2008-03-10,159.990005,164.779999,155.229996,13725600,155.580002
2008-03-11,161.899994,164.839996,157.5,20415300,163.070007
2008-03-12,164.029999,170.059998,162.610001,14444900,163.009995
2008-03-13,160.440002,167.300003,156.759995,18617600,165.440002
2008-03-14,167,167.800003,155,27102300,156.860001
2008-03-17,142.029999,154.119995,140.270004,38648800,151.020004
2008-03-18,164.960007,175.880005,159.759995,43276100,175.589996
2008-03-19,177.940002,178.460007,165.399994,24176100,166.490005
2008-03-20,166.300003,180.360001,166.210007,20801800,179.630005
2008-03-24,179,184.520004,176.149994,15643700,178.880005
2008-03-25,177.509995,182.649994,177.139999,11666800,179.630005
2008-03-26,178.490005,179.050003,174.330002,11610600,175.479996
2008-03-27,176.610001,177.240005,167.380005,15195800,168.139999
2008-03-28,169.570007,170.5,163.389999,11978700,164.449997
2008-03-31,164.169998,168.490005,162.850006,8977400,165.389999
2008-04-01,171.490005,176.990005,170.210007,14694100,176.860001
2008-04-02,177,181.619995,176.100006,12058300,176.869995
2008-04-03,174.789993,179.149994,172.880005,10755800,176.529999
2008-04-04,176.550003,179.330002,174,8496700,175.399994
2008-04-07,178.559998,181.75,176.929993,10276200,178.729996
2008-04-08,177.300003,181.5,176.759995,8629400,178.899994
2008-04-09,178.25,178.899994,173.149994,11425400,174.139999
2008-04-10,173.899994,173.899994,168.869995,14744400,170.550003
2008-04-11,168,171.869995,166.869995,11355300,167.300003
2008-04-14,166.449997,167.550003,163.350006,9857900,163.589996
2008-04-15,165.059998,165.949997,161.679993,9134700,164.199997
2008-04-16,166.149994,169.169998,165.910004,9340800,169.050003
2008-04-17,167.740005,173.5,167.100006,8730300,172.100006
2008-04-18,176.910004,183.029999,176.910004,16882100,179.929993
2008-04-21,179.570007,181.75,178.289993,7820700,180.399994
2008-04-22,179.779999,181.369995,178.5,6127000,179.759995
2008-04-23,180.839996,183.199997,178,7435900,179.350006
2008-04-24,180.339996,189.389999,179.360001,13182700,188.789993
2008-04-25,190.259995,192.490005,188.369995,12187400,192
2008-04-28,192.490005,192.5,189.889999,6252600,190.240005
2008-04-29,190.25,192.679993,188.25,7127200,192.679993
2008-04-30,193.380005,194.929993,189.820007,10352600,191.369995
2008-05-01,191.770004,199.190002,190.850006,9483200,199.050003
2008-05-02,203.389999,203.389999,198,9437100,200.270004
2008-05-05,198.610001,201.119995,196.149994,6389900,197.119995
2008-05-06,194.600006,199.25,193.110001,7508600,197.610001
2008-05-07,197.600006,198.440002,189.539993,7075600,189.759995
2008-05-08,190.75,191.389999,185.259995,9867500,187.720001
2008-05-09,186.020004,189.979996,185.690002,6467800,188.089996
2008-05-12,189.449997,192.699997,187.339996,5655000,192.080002
2008-05-13,191.179993,193,189.020004,5776700,190.330002
2008-05-14,190.600006,192.490005,189.339996,5031700,190.130005
2008-05-15,189.779999,189.800003,185.320007,8015600,188.619995
2008-05-16,189.550003,189.610001,186,6144400,187.139999
2008-05-19,185.669998,189.320007,183.470001,7009200,184.399994
2008-05-20,183.330002,184.899994,181.25,6889900,182.429993
2008-05-21,182.550003,183.660004,178.009995,9068500,178.600006
2008-05-22,176.199997,179.919998,175,8684100,177.199997
2008-05-23,176.009995,176.5,171.229996,8145500,172.639999
2008-05-27,171.759995,174.699997,170.800003,8420000,173.919998
2008-05-28,174.759995,175.929993,172.210007,7238500,174.830002
2008-05-29,174.490005,179.5,174,7755200,176.240005
2008-05-30,177.800003,178.860001,175.850006,5697400,176.410004
2008-06-02,177,177.699997,170.809998,9847400,172.339996
2008-06-03,173.350006,173.660004,167.600006,13187400,170.580002
2008-06-04,170,175.559998,169.550003,10777500,172.100006
2008-06-05,173.210007,177.440002,173.190002,9721900,176.600006
2008-06-06,175.070007,175.070007,169.440002,10559000,169.440002
2008-06-09,170.850006,172.679993,163.350006,12998400,165.759995
2008-06-10,163.75,169.429993,163.210007,11014600,167.210007
2008-06-11,167,167.25,161.210007,16468500,162.399994
2008-06-12,163.240005,169.690002,163.240005,11767100,166.75
2008-06-13,169.470001,178.559998,169.399994,14343000,178.289993
2008-06-16,177.740005,184.75,176.610001,16376300,182.089996
2008-06-17,185.039993,185.889999,179.139999,24422900,179.440002
2008-06-18,176.660004,185.350006,175.559998,16222400,182.770004
2008-06-19,183.690002,186.979996,181.110001,10588800,186.929993
2008-06-20,185.020004,186.699997,182.850006,11331400,183.770004
2008-06-23,184.600006,184.600006,177.009995,9840000,178.589996
2008-06-24,177.619995,184.600006,177.339996,12663400,181.979996
2008-06-25,183.110001,187.009995,183.089996,10838800,183.649994
2008-06-26,179.009995,180.5,175.199997,13603700,176.259995
2008-06-27,177.009995,178.279999,172.289993,12670600,174.559998
2008-06-30,175.559998,178.259995,173.289993,9373300,174.899994
2008-07-01,173.130005,177.059998,170.229996,13940400,175.330002
2008-07-02,176.770004,182.639999,175.190002,16256600,178.789993
2008-07-03,180.300003,182.360001,178.259995,6185400,178.889999
2008-07-07,180.690002,181.910004,167.389999,17013300,169.820007
2008-07-08,171.369995,176,166.740005,16790500,174.899994
